Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0A4,0200,0A4,0000,000,0000,000,0000,0000,004,0100
0A4,0200,0A5,0200,0A4,0200,000,00A4,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0000,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0000,004,0100
0A7,F0FD,0A5,F0FD,0A7,F0FD,000,FFFD,0000,004,0100
0A5,1207,0A6,1207,0A5,1207,000,00A5,0040,004,0100
0A6,2F40,0A7,2F40,0A6,0040,000,0040,0040,000,0000
0A7,F0FD,0A8,F0FD,0A7,F0FD,000,00A7,0040,000,0000
0A8,1206,0A9,1206,0A8,1206,000,00A8,0003,000,0000
0A9,0200,0AA,0200,0A9,0200,000,00A9,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0000,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0000,004,0100
0AC,F0FD,0AA,F0FD,0AC,F0FD,000,FFFD,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0000,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0000,004,0100
0AC,F0FD,0AA,F0FD,0AC,F0FD,000,FFFD,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0000,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0000,004,0100
0AC,F0FD,0AA,F0FD,0AC,F0FD,000,FFFD,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0000,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0000,004,0100
0AC,F0FD,0AA,F0FD,0AC,F0FD,000,FFFD,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0000,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0000,004,0100
0AC,F0FD,0AA,F0FD,0AC,F0FD,000,FFFD,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0000,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0000,004,0100
0AC,F0FD,0AA,F0FD,0AC,F0FD,000,FFFD,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0000,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0000,004,0100
0AC,F0FD,0AA,F0FD,0AC,F0FD,000,FFFD,0000,004,0100
0AA,1207,0AB,1207,0AA,1207,000,00AA,0040,004,0100
0AB,2F40,0AC,2F40,0AB,0040,000,0040,0040,000,0000
0AC,F0FD,0AD,F0FD,0AC,F0FD,000,00AC,0040,000,0000
0AD,1206,0AE,1206,0AD,1206,000,00AD,000B,000,0000
0AE,0680,0AF,0680,0AE,0680,000,00AE,0B00,000,0000
0AF,0C00,0B0,0C00,7FF,0B00,7FF,00AF,0B00,000,0000,7FF,0B00
0B0,0200,0B1,0200,0B0,0200,7FF,00B0,0000,004,0100
0B1,D022,022,D022,7FE,00B2,7FE,D022,0000,004,0100,7FE,00B2
022,AC01,023,AC01,7FF,0B00,7FE,0001,0B00,000,0000
023,CE01,025,CE01,023,0025,7FE,0001,0B00,000,0000
025,4EFA,026,4EFA,020,0001,7FE,FFFA,0B01,000,0000
026,0580,027,0580,026,0580,7FE,0026,0580,003,0011
027,0C00,028,0C00,7FD,0580,7FD,0027,0580,003,0011,7FD,0580
028,DE1D,046,DE1D,7FC,0029,7FC,0046,0580,003,0011,7FC,0029
046,AC04,047,AC04,000,0000,7FC,0004,0000,005,0101
047,0740,048,0740,047,0740,7FC,0047,FFFF,008,1000
048,EEF7,049,EEF7,040,FFFF,7FC,FFF7,FFFF,008,1000,040,FFFF
049,AC01,04A,AC01,7FD,0580,7FC,0001,0580,000,0000
04A,EEF6,04B,EEF6,041,0580,7FC,FFF6,0580,000,0000,041,0580
04B,EEF6,04C,EEF6,042,0580,7FC,FFF6,0580,000,0000,042,0580
04C,CE01,04E,CE01,04C,004E,7FC,0001,0580,000,0000
04E,0C00,04F,0C00,7FB,0580,7FB,004E,0580,000,0000,7FB,0580
04F,AEF1,050,AEF1,041,0580,7FB,FFF1,0580,000,0000
050,0C00,051,0C00,7FA,0580,7FA,0050,0580,000,0000,7FA,0580
051,DE0F,061,DE0F,7F9,0052,7F9,0061,0580,000,0000,7F9,0052
061,AF08,062,AF08,061,0008,7F9,0008,0008,000,0000
062,EEFD,063,EEFD,060,0008,7F9,FFFD,0008,000,0000,060,0008
063,AF00,064,AF00,063,0000,7F9,0000,0000,004,0100
064,0C00,065,0C00,7F8,0000,7F8,0064,0000,004,0100,7F8,0000
065,AC02,066,AC02,7FA,0580,7F8,0002,0580,000,0000
066,0680,067,0680,066,0680,7F8,0066,8005,008,1000
067,EC02,068,EC02,7FA,8005,7F8,0002,8005,008,1000,7FA,8005
068,AC03,069,AC03,7FB,0580,7F8,0003,0580,000,0000
069,2F01,06A,2F01,069,0001,7F8,0001,0000,004,0100
06A,0C00,06B,0C00,7F7,0000,7F7,006A,0000,004,0100,7F7,0000
06B,CE03,06F,CE03,06B,006F,7F7,0003,0000,004,0100
06F,DE16,086,DE16,7F6,0070,7F6,0086,0000,004,0100,7F6,0070
086,AC02,087,AC02,7F8,0000,7F6,0002,0000,004,0100
087,0280,088,0280,087,0280,7F6,0087,FFFF,008,1000
088,2C01,089,2C01,7F7,0000,7F6,0001,0000,004,0100
089,EEFB,08A,EEFB,085,0000,7F6,FFFB,0000,004,0100,085,0000
08A,AC01,08B,AC01,7F7,0000,7F6,0001,0000,004,0100
08B,0280,08C,0280,08B,0280,7F6,008B,FFFF,008,1000
08C,2C02,08D,2C02,7F8,0000,7F6,0002,0000,004,0100
08D,3EF7,08E,3EF7,085,0000,7F6,FFFF,0000,004,0100
08E,0A00,070,0A00,7F6,0070,7F7,008E,0000,004,0100
070,F009,07A,F009,070,F009,7F7,0009,0000,004,0100
07A,AC04,07B,AC04,7FB,0580,7F7,0004,0580,000,0000
07B,0580,07C,0580,07B,0580,7F7,007B,02C0,000,0000
07C,EC04,07D,EC04,7FB,02C0,7F7,0004,02C0,000,0000,7FB,02C0
07D,AC00,07E,AC00,7F7,0000,7F7,0000,0000,004,0100
07E,EC01,07F,EC01,7F8,0000,7F7,0001,0000,004,0100,7F8,0000
07F,8EE0,080,8EE0,060,0007,7F7,0006,0000,004,0100,060,0007
080,CEEB,06C,CEEB,080,006C,7F7,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FB,02C0,7F7,0004,02C0,000,0000
06D,2F01,06E,2F01,06D,0001,7F7,0001,0000,004,0100
06E,EC00,06F,EC00,7F7,0000,7F7,0000,0000,004,0100,7F7,0000
06F,DE16,086,DE16,7F6,0070,7F6,0086,0000,004,0100,7F6,0070
086,AC02,087,AC02,7F8,0000,7F6,0002,0000,004,0100
087,0280,088,0280,087,0280,7F6,0087,FFFF,008,1000
088,2C01,089,2C01,7F7,0000,7F6,0001,0000,004,0100
089,EEFB,08A,EEFB,085,0000,7F6,FFFB,0000,004,0100,085,0000
08A,AC01,08B,AC01,7F7,0000,7F6,0001,0000,004,0100
08B,0280,08C,0280,08B,0280,7F6,008B,FFFF,008,1000
08C,2C02,08D,2C02,7F8,0000,7F6,0002,0000,004,0100
08D,3EF7,08E,3EF7,085,0000,7F6,FFFF,0000,004,0100
08E,0A00,070,0A00,7F6,0070,7F7,008E,0000,004,0100
070,F009,07A,F009,070,F009,7F7,0009,0000,004,0100
07A,AC04,07B,AC04,7FB,02C0,7F7,0004,02C0,000,0000
07B,0580,07C,0580,07B,0580,7F7,007B,0160,000,0000
07C,EC04,07D,EC04,7FB,0160,7F7,0004,0160,000,0000,7FB,0160
07D,AC00,07E,AC00,7F7,0000,7F7,0000,0000,004,0100
07E,EC01,07F,EC01,7F8,0000,7F7,0001,0000,004,0100,7F8,0000
07F,8EE0,080,8EE0,060,0006,7F7,0005,0000,004,0100,060,0006
080,CEEB,06C,CEEB,080,006C,7F7,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FB,0160,7F7,0004,0160,000,0000
06D,2F01,06E,2F01,06D,0001,7F7,0001,0000,004,0100
06E,EC00,06F,EC00,7F7,0000,7F7,0000,0000,004,0100,7F7,0000
06F,DE16,086,DE16,7F6,0070,7F6,0086,0000,004,0100,7F6,0070
086,AC02,087,AC02,7F8,0000,7F6,0002,0000,004,0100
087,0280,088,0280,087,0280,7F6,0087,FFFF,008,1000
088,2C01,089,2C01,7F7,0000,7F6,0001,0000,004,0100
089,EEFB,08A,EEFB,085,0000,7F6,FFFB,0000,004,0100,085,0000
08A,AC01,08B,AC01,7F7,0000,7F6,0001,0000,004,0100
08B,0280,08C,0280,08B,0280,7F6,008B,FFFF,008,1000
08C,2C02,08D,2C02,7F8,0000,7F6,0002,0000,004,0100
08D,3EF7,08E,3EF7,085,0000,7F6,FFFF,0000,004,0100
08E,0A00,070,0A00,7F6,0070,7F7,008E,0000,004,0100
070,F009,07A,F009,070,F009,7F7,0009,0000,004,0100
07A,AC04,07B,AC04,7FB,0160,7F7,0004,0160,000,0000
07B,0580,07C,0580,07B,0580,7F7,007B,00B0,000,0000
07C,EC04,07D,EC04,7FB,00B0,7F7,0004,00B0,000,0000,7FB,00B0
07D,AC00,07E,AC00,7F7,0000,7F7,0000,0000,004,0100
07E,EC01,07F,EC01,7F8,0000,7F7,0001,0000,004,0100,7F8,0000
07F,8EE0,080,8EE0,060,0005,7F7,0004,0000,004,0100,060,0005
080,CEEB,06C,CEEB,080,006C,7F7,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FB,00B0,7F7,0004,00B0,000,0000
06D,2F01,06E,2F01,06D,0001,7F7,0001,0000,004,0100
06E,EC00,06F,EC00,7F7,0000,7F7,0000,0000,004,0100,7F7,0000
06F,DE16,086,DE16,7F6,0070,7F6,0086,0000,004,0100,7F6,0070
086,AC02,087,AC02,7F8,0000,7F6,0002,0000,004,0100
087,0280,088,0280,087,0280,7F6,0087,FFFF,008,1000
088,2C01,089,2C01,7F7,0000,7F6,0001,0000,004,0100
089,EEFB,08A,EEFB,085,0000,7F6,FFFB,0000,004,0100,085,0000
08A,AC01,08B,AC01,7F7,0000,7F6,0001,0000,004,0100
08B,0280,08C,0280,08B,0280,7F6,008B,FFFF,008,1000
08C,2C02,08D,2C02,7F8,0000,7F6,0002,0000,004,0100
08D,3EF7,08E,3EF7,085,0000,7F6,FFFF,0000,004,0100
08E,0A00,070,0A00,7F6,0070,7F7,008E,0000,004,0100
070,F009,07A,F009,070,F009,7F7,0009,0000,004,0100
07A,AC04,07B,AC04,7FB,00B0,7F7,0004,00B0,000,0000
07B,0580,07C,0580,07B,0580,7F7,007B,0058,000,0000
