Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
011,0200,011,0000,000,0000,000,0000,0000,004,0100
011,0200,012,0200,011,0200,000,0011,0000,004,0100
012,AEFD,013,AEFD,010,0001,000,FFFD,0001,000,0000
013,0C00,014,0C00,7FF,0001,7FF,0013,0001,000,0000,7FF,0001
014,DE6F,084,DE6F,7FE,0015,7FE,0084,0001,000,0000,7FE,0015
084,AF00,085,AF00,084,0000,7FE,0000,0000,004,0100
085,EEF9,086,EEF9,07F,0000,7FE,FFF9,0000,004,0100,07F,0000
086,EEF9,087,EEF9,080,0000,7FE,FFF9,0000,004,0100,080,0000
087,EEF9,088,EEF9,081,0000,7FE,FFF9,0000,004,0100,081,0000
088,0800,089,0800,7FE,0015,7FF,0088,0015,000,0000
089,EEF8,08A,EEF8,082,0015,7FF,FFF8,0015,000,0000,082,0015
08A,EEF8,08B,EEF8,083,0015,7FF,FFF8,0015,000,0000,083,0015
08B,7F09,08C,7F09,08B,0009,7FF,0009,0015,001,0001
08C,F309,096,F309,08C,F309,7FF,0009,0015,001,0001
096,AEE8,097,AEE8,07F,0000,7FF,FFE8,0000,005,0101
097,4F0A,098,4F0A,097,000A,7FF,000A,000A,000,0000
098,EEE6,099,EEE6,07F,000A,7FF,FFE6,000A,000,0000,07F,000A
099,AAE6,09A,AAE6,000,0000,7FF,FFE6,0000,004,0100,080,0001
09A,AEE8,09B,AEE8,083,0015,7FF,FFE8,0015,000,0000
09B,6F09,09C,6F09,09B,0009,7FF,0009,000C,001,0001
09C,EEE6,09D,EEE6,083,000C,7FF,FFE6,000C,001,0001,083,000C
09D,CEED,08B,CEED,09D,008B,7FF,FFED,000C,001,0001
08B,7F09,08C,7F09,08B,0009,7FF,0009,000C,001,0001
08C,F309,096,F309,08C,F309,7FF,0009,000C,001,0001
096,AEE8,097,AEE8,07F,000A,7FF,FFE8,000A,001,0001
097,4F0A,098,4F0A,097,000A,7FF,000A,0014,000,0000
098,EEE6,099,EEE6,07F,0014,7FF,FFE6,0014,000,0000,07F,0014
099,AAE6,09A,AAE6,001,0000,7FF,FFE6,0000,004,0100,080,0002
09A,AEE8,09B,AEE8,083,000C,7FF,FFE8,000C,000,0000
09B,6F09,09C,6F09,09B,0009,7FF,0009,0003,001,0001
09C,EEE6,09D,EEE6,083,0003,7FF,FFE6,0003,001,0001,083,0003
09D,CEED,08B,CEED,09D,008B,7FF,FFED,0003,001,0001
08B,7F09,08C,7F09,08B,0009,7FF,0009,0003,008,1000
08C,F309,08D,F309,08C,F309,7FF,008C,0003,008,1000
08D,AEF4,08E,AEF4,082,0015,7FF,FFF4,0015,000,0000
08E,6EF0,08F,6EF0,07F,0014,7FF,FFF0,0001,001,0001
08F,EEF1,090,EEF1,081,0001,7FF,FFF1,0001,001,0001,081,0001
090,AEEF,091,AEEF,080,0002,7FF,FFEF,0002,001,0001
091,DE18,0AA,DE18,7FE,0092,7FE,00AA,0002,001,0001,7FE,0092
0AA,EEF3,0AB,EEF3,09E,0002,7FE,FFF3,0002,001,0001,09E,0002
0AB,4EF3,0AC,4EF3,09F,0017,7FE,FFF3,0019,000,0000
0AC,EEF2,0AD,EEF2,09F,0019,7FE,FFF2,0019,000,0000,09F,0019
0AD,AAFB,0AE,AAFB,000,0000,7FE,FFFB,0000,004,0100,0A9,0001
0AE,AEFA,0AF,AEFA,0A9,0001,7FE,FFFA,0001,000,0000
0AF,7F02,0B0,7F02,0AF,0002,7FE,0002,0001,008,1000
0B0,F101,0B2,F101,0B0,F101,7FE,0001,0001,008,1000
0B2,D8EC,019,D8EC,7FD,00B3,7FD,0019,0001,008,1000,7FD,00B3
019,AF49,01A,AF49,019,0049,7FD,0049,0049,000,0000
01A,1310,01B,1310,01A,1310,7FD,001A,0049,000,0000
01B,AF51,01C,AF51,01B,0051,7FD,0051,0051,000,0000
01C,1310,01D,1310,01C,1310,7FD,001C,0051,000,0000
01D,AF3E,01E,AF3E,01D,003E,7FD,003E,003E,000,0000
01E,1310,01F,1310,01E,1310,7FD,001E,003E,000,0000
01F,0A00,0B3,0A00,7FD,00B3,7FE,001F,003E,000,0000
0B3,A017,0B4,A017,017,AF3E,7FE,00B3,AF3E,008,1000
0B4,EEEA,0B5,EEEA,09F,AF3E,7FE,FFEA,AF3E,008,1000,09F,AF3E
0B5,0A00,092,0A00,7FE,0092,7FF,00B5,AF3E,008,1000
092,0000,093,0000,092,0000,7FF,0092,AF3E,008,1000
093,AEED,094,AEED,081,0001,7FF,FFED,0001,000,0000
094,DE15,0AA,DE15,7FE,0095,7FE,00AA,0001,000,0000,7FE,0095
0AA,EEF3,0AB,EEF3,09E,0001,7FE,FFF3,0001,000,0000,09E,0001
0AB,4EF3,0AC,4EF3,09F,AF3E,7FE,FFF3,AF3F,008,1000
0AC,EEF2,0AD,EEF2,09F,AF3F,7FE,FFF2,AF3F,008,1000,09F,AF3F
0AD,AAFB,0AE,AAFB,001,0000,7FE,FFFB,0000,004,0100,0A9,0002
0AE,AEFA,0AF,AEFA,0A9,0002,7FE,FFFA,0002,000,0000
0AF,7F02,0B0,7F02,0AF,0002,7FE,0002,0002,005,0101
0B0,F101,0B1,F101,0B0,F101,7FE,00B0,0002,005,0101
0B1,0100,0B2,0100,0B1,0100,7FE,00B1,0002,005,0101
