Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
018,1310,019,1310,018,1310,7FD,0018,0002,005,0101
019,AF49,01A,AF49,019,0049,7FD,0049,0049,001,0001
01A,1310,01B,1310,01A,1310,7FD,001A,0049,001,0001
01B,AF51,01C,AF51,01B,0051,7FD,0051,0051,001,0001
01C,1310,01D,1310,01C,1310,7FD,001C,0051,001,0001
01D,AF3E,01E,AF3E,01D,003E,7FD,003E,003E,001,0001
01E,1310,01F,1310,01E,1310,7FD,001E,003E,001,0001
01F,0A00,0B4,0A00,7FD,00B4,7FE,001F,003E,001,0001
0B4,AEEB,0B5,AEEB,0A0,0018,7FE,FFEB,0018,001,0001
0B5,6EE9,0B6,6EE9,09F,0001,7FE,FFE9,0017,001,0001
0B6,EEE9,0B7,EEE9,0A0,0017,7FE,FFE9,0017,001,0001,0A0,0017
0B7,0A00,095,0A00,7FE,0095,7FF,00B7,0017,001,0001
095,0000,096,0000,095,0000,7FF,0095,0017,001,0001
096,0A00,001,0A00,7FF,0001,000,0096,0017,001,0001
001,0000,002,0000,001,0000,000,0001,0017,001,0001
002,0000,003,0000,002,0000,000,0002,0017,001,0001
003,0000,004,0000,003,0000,000,0003,0017,001,0001
004,0000,005,0000,004,0000,000,0004,0017,001,0001
005,0000,006,0000,005,0000,000,0005,0017,001,0001
006,0000,007,0000,006,0000,000,0006,0017,001,0001
007,0000,008,0000,007,0000,000,0007,0017,001,0001
008,0000,009,0000,008,0000,000,0008,0017,001,0001
009,0000,00A,0000,009,0000,000,0009,0017,001,0001
00A,0000,00B,0000,00A,0000,000,000A,0017,001,0001
00B,0000,00C,0000,00B,0000,000,000B,0017,001,0001
00C,0000,00D,0000,00C,0000,000,000C,0017,001,0001
00D,0000,00E,0000,00D,0000,000,000D,0017,001,0001
00E,0000,00F,0000,00E,0000,000,000E,0017,001,0001
00F,0000,010,0000,00F,0000,000,000F,0017,001,0001
010,0001,011,0001,010,0001,000,0010,0017,001,0001
011,0200,012,0200,011,0200,000,0011,0000,005,0101
012,AEFD,013,AEFD,010,0001,000,FFFD,0001,001,0001
013,0C00,014,0C00,7FF,0001,7FF,0013,0001,001,0001,7FF,0001
014,DE6F,084,DE6F,7FE,0015,7FE,0084,0001,001,0001,7FE,0015
084,AF00,085,AF00,084,0000,7FE,0000,0000,005,0101
085,EEF9,086,EEF9,07F,0000,7FE,FFF9,0000,005,0101,07F,0000
086,EEF9,087,EEF9,080,0000,7FE,FFF9,0000,005,0101,080,0000
087,EEF9,088,EEF9,081,0000,7FE,FFF9,0000,005,0101,081,0000
088,0800,089,0800,7FE,0015,7FF,0088,0015,001,0001
089,EEF8,08A,EEF8,082,0015,7FF,FFF8,0015,001,0001,082,0015
08A,EEF8,08B,EEF8,083,0015,7FF,FFF8,0015,001,0001,083,0015
08B,7F09,08C,7F09,08B,0009,7FF,0009,0015,001,0001
08C,F30A,097,F30A,08C,F30A,7FF,000A,0015,001,0001
097,AEE7,098,AEE7,07F,0000,7FF,FFE7,0000,005,0101
098,4F0A,099,4F0A,098,000A,7FF,000A,000A,000,0000
