Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
405,0200,405,0000,000,0000,000,0000,0000,004,0100
405,0200,406,0200,405,0200,000,0405,0000,004,0100
406,EEFD,407,EEFD,404,0000,000,FFFD,0000,004,0100,404,0000
407,AF14,408,AF14,407,0014,000,0014,0014,000,0000
408,EEFA,409,EEFA,403,0014,000,FFFA,0014,000,0000,403,0014
409,AEF7,40A,AEF7,401,0413,000,FFF7,0413,000,0000
40A,EEF7,40B,EEF7,402,0413,000,FFF7,0413,000,0000,402,0413
40B,AAF6,40C,AAF6,413,0001,000,FFF6,0001,000,0000,402,0414
40C,F303,410,F303,40C,F303,000,0003,0001,000,0000
410,8403,411,8403,403,0013,000,0012,0001,000,0000,403,0013
411,CEF9,40B,CEF9,411,040B,000,FFF9,0001,000,0000
40B,AAF6,40C,AAF6,414,01EC,000,FFF6,01EC,000,0000,402,0415
40C,F303,410,F303,40C,F303,000,0003,01EC,000,0000
410,8403,411,8403,403,0012,000,0011,01EC,000,0000,403,0012
411,CEF9,40B,CEF9,411,040B,000,FFF9,01EC,000,0000
40B,AAF6,40C,AAF6,415,071E,000,FFF6,071E,000,0000,402,0416
40C,F303,410,F303,40C,F303,000,0003,071E,000,0000
410,8403,411,8403,403,0011,000,0010,071E,000,0000,403,0011
411,CEF9,40B,CEF9,411,040B,000,FFF9,071E,000,0000
40B,AAF6,40C,AAF6,416,0400,000,FFF6,0400,000,0000,402,0417
40C,F303,410,F303,40C,F303,000,0003,0400,000,0000
410,8403,411,8403,403,0010,000,000F,0400,000,0000,403,0010
411,CEF9,40B,CEF9,411,040B,000,FFF9,0400,000,0000
40B,AAF6,40C,AAF6,417,023C,000,FFF6,023C,000,0000,402,0418
40C,F303,410,F303,40C,F303,000,0003,023C,000,0000
410,8403,411,8403,403,000F,000,000E,023C,000,0000,403,000F
411,CEF9,40B,CEF9,411,040B,000,FFF9,023C,000,0000
40B,AAF6,40C,AAF6,418,0600,000,FFF6,0600,000,0000,402,0419
40C,F303,410,F303,40C,F303,000,0003,0600,000,0000
410,8403,411,8403,403,000E,000,000D,0600,000,0000,403,000E
411,CEF9,40B,CEF9,411,040B,000,FFF9,0600,000,0000
40B,AAF6,40C,AAF6,419,0680,000,FFF6,0680,000,0000,402,041A
40C,F303,410,F303,40C,F303,000,0003,0680,000,0000
410,8403,411,8403,403,000D,000,000C,0680,000,0000,403,000D
