Адр;Знчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;Адр;Знчн
405;200;413;0100;0412;100;0;412;380;80;0;404;2
;                                 ;;;;;;;;;;403;0
;                                 ;;;;;;;;;;402;427
413;0001;405;0100;0412;100;0;412;380;80;0;;
405;0200;406;0100;405;200;0;412;380;80;0;;
406;EEFD;401;0100;405;200;0;412;380;0;0;;
401;0413;402;0100;401;413;0;412;380;0;0;401;413
402;0200;403;0100;402;200;0;412;380;0;0;402;200
403;E000;404;0100;403;E000;0;412;380;0;0;403;E000
404;0200;405;0100;404;200;0;412;380;0;0;404;200
405;0200;410;0100;404;200;0;412;380;0;0;;
410;8403;411;0100;410;8403;0;412;380;0;0;;
411;0405;412;0100;411;405;0;412;380;0;0;411;405
412;0100;405;0100;411;405;0;412;380;0;0;;
405;0200;406;0100;405;200;0;412;380;0;0;;
406;EEFD;410;0100;405;200;0;412;380;0;0;;
410;8403;411;0100;410;8403;0;412;380;0;0;;
411;CEF9;412;0100;411;CEF9;0;412;380;0;0;411;CEF9
412;0100;401;0100;411;CEF9;0;412;380;0;0;;
401;0413;402;0100;401;413;0;412;380;0;0;;
402;0200;405;0100;401;413;0;412;380;0;0;;
405;0200;413;0100;412;100;0;412;380;80;0;404;2
;                                 ;;;;;;;;;;403;0
;                                 ;;;;;;;;;;402;427
413;0001;405;0100;412;100;0;412;380;80;0;;
405;0200;406;0100;405;200;0;412;380;80;0;;
