Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0126,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0134,000,0000
05B,8EF5,05C,8EF5,051,0007,7FB,0006,0134,000,0000,051,0007
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0134,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0142,000,0000
05B,8EF5,05C,8EF5,051,0006,7FB,0005,0142,000,0000,051,0006
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0142,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0150,000,0000
05B,8EF5,05C,8EF5,051,0005,7FB,0004,0150,000,0000,051,0005
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0150,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,015E,000,0000
05B,8EF5,05C,8EF5,051,0004,7FB,0003,015E,000,0000,051,0004
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,015E,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,016C,000,0000
05B,8EF5,05C,8EF5,051,0003,7FB,0002,016C,000,0000,051,0003
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,016C,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,017A,000,0000
05B,8EF5,05C,8EF5,051,0002,7FB,0001,017A,000,0000,051,0002
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,017A,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0188,000,0000
05B,8EF5,05C,8EF5,051,0001,7FB,0000,0188,000,0000,051,0001
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0188,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0196,000,0000
05B,8EF5,05D,8EF5,051,0000,7FB,FFFF,0196,000,0000,051,0000
05D,0C00,05E,0C00,7FA,0196,7FA,005D,0196,000,0000,7FA,0196
05E,8EF1,05F,8EF1,050,0001,7FA,0000,0196,000,0000,050,0001
05F,CEF7,057,CEF7,05F,0057,7FA,FFF7,0196,000,0000
057,AC02,058,AC02,7FC,000E,7FA,0002,000E,000,0000
058,EEF8,059,EEF8,051,000E,7FA,FFF8,000E,000,0000,051,000E
059,0800,05A,0800,7FA,0196,7FB,0059,0196,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,01A4,000,0000
05B,8EF5,05C,8EF5,051,000D,7FB,000C,01A4,000,0000,051,000D
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,01A4,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,01B2,000,0000
05B,8EF5,05C,8EF5,051,000C,7FB,000B,01B2,000,0000,051,000C
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,01B2,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,01C0,000,0000
05B,8EF5,05C,8EF5,051,000B,7FB,000A,01C0,000,0000,051,000B
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,01C0,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,01CE,000,0000
05B,8EF5,05C,8EF5,051,000A,7FB,0009,01CE,000,0000,051,000A
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,01CE,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,01DC,000,0000
05B,8EF5,05C,8EF5,051,0009,7FB,0008,01DC,000,0000,051,0009
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,01DC,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,01EA,000,0000
05B,8EF5,05C,8EF5,051,0008,7FB,0007,01EA,000,0000,051,0008
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,01EA,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,01F8,000,0000
05B,8EF5,05C,8EF5,051,0007,7FB,0006,01F8,000,0000,051,0007
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,01F8,000,0000
