Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
042,0200,042,0000,000,0000,000,0000,0000,004,0100
042,0200,043,0200,042,0200,000,0042,0000,004,0100
043,AEFD,044,AEFD,041,0003,000,FFFD,0003,000,0000
044,2EFB,045,2EFB,040,0003,000,FFFB,0003,000,0000
045,F00A,046,F00A,045,F00A,000,0045,0003,000,0000
046,AEF4,047,AEF4,03B,0020,000,FFF4,0020,000,0000
047,0700,048,0700,047,0700,000,0047,0021,000,0000
048,0700,049,0700,048,0700,000,0048,0022,000,0000
049,EEF1,04A,EEF1,03B,0022,000,FFF1,0022,000,0000,03B,0022
04A,AEF6,04B,AEF6,041,0003,000,FFF6,0003,000,0000
04B,0700,04C,0700,04B,0700,000,004B,0004,000,0000
04C,EEF4,04D,EEF4,041,0004,000,FFF4,0004,000,0000,041,0004
04D,8EEC,04E,8EEC,03A,0005,000,0004,0004,000,0000,03A,0005
04E,CEF4,043,CEF4,04E,0043,000,FFF4,0004,000,0000
043,AEFD,044,AEFD,041,0004,000,FFFD,0004,000,0000
044,2EFB,045,2EFB,040,0003,000,FFFB,0000,004,0100
045,F00A,050,F00A,045,F00A,000,000A,0000,004,0100
050,0200,051,0200,050,0200,000,0050,0000,004,0100
051,AAE9,052,AAE9,022,FFFF,000,FFE9,FFFF,008,1000,03B,0023
052,4EE9,053,4EE9,03C,FFFF,000,FFE9,FFFE,009,1001
053,EEE8,054,EEE8,03C,FFFE,000,FFE8,FFFE,009,1001,03C,FFFE
054,A8E6,055,A8E6,023,0001,000,FFE6,0001,001,0001
055,5EE7,056,5EE7,03D,0001,000,FFE7,0003,000,0000
056,EEE6,057,EEE6,03D,0003,000,FFE6,0003,000,0000,03D,0003
057,2EE6,058,2EE6,03E,0004,000,FFE6,0000,004,0100
058,F003,05C,F003,058,F003,000,0003,0000,004,0100
05C,AEE0,05D,AEE0,03D,0003,000,FFE0,0003,000,0000
05D,2EE2,05E,2EE2,040,0003,000,FFE2,0003,000,0000
05E,EEDE,05F,EEDE,03D,0003,000,FFDE,0003,000,0000,03D,0003
05F,CEEA,04A,CEEA,05F,004A,000,FFEA,0003,000,0000
04A,AEF6,04B,AEF6,041,0004,000,FFF6,0004,000,0000
04B,0700,04C,0700,04B,0700,000,004B,0005,000,0000
04C,EEF4,04D,EEF4,041,0005,000,FFF4,0005,000,0000,041,0005
04D,8EEC,04E,8EEC,03A,0004,000,0003,0005,000,0000,03A,0004
04E,CEF4,043,CEF4,04E,0043,000,FFF4,0005,000,0000
043,AEFD,044,AEFD,041,0005,000,FFFD,0005,000,0000
044,2EFB,045,2EFB,040,0003,000,FFFB,0001,000,0000
045,F00A,046,F00A,045,F00A,000,0045,0001,000,0000
046,AEF4,047,AEF4,03B,0023,000,FFF4,0023,000,0000
047,0700,048,0700,047,0700,000,0047,0024,000,0000
048,0700,049,0700,048,0700,000,0048,0025,000,0000
049,EEF1,04A,EEF1,03B,0025,000,FFF1,0025,000,0000,03B,0025
04A,AEF6,04B,AEF6,041,0005,000,FFF6,0005,000,0000
04B,0700,04C,0700,04B,0700,000,004B,0006,000,0000
04C,EEF4,04D,EEF4,041,0006,000,FFF4,0006,000,0000,041,0006
04D,8EEC,04E,8EEC,03A,0003,000,0002,0006,000,0000,03A,0003
04E,CEF4,043,CEF4,04E,0043,000,FFF4,0006,000,0000
043,AEFD,044,AEFD,041,0006,000,FFFD,0006,000,0000
044,2EFB,045,2EFB,040,0003,000,FFFB,0002,000,0000
045,F00A,046,F00A,045,F00A,000,0045,0002,000,0000
046,AEF4,047,AEF4,03B,0025,000,FFF4,0025,000,0000
047,0700,048,0700,047,0700,000,0047,0026,000,0000
048,0700,049,0700,048,0700,000,0048,0027,000,0000
049,EEF1,04A,EEF1,03B,0027,000,FFF1,0027,000,0000,03B,0027
04A,AEF6,04B,AEF6,041,0006,000,FFF6,0006,000,0000
