Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
05E,CEEA,049,CEEA,05E,0049,000,FFEA,FFFE,009,1001
049,AEF6,04A,AEF6,040,0008,000,FFF6,0008,001,0001
04A,0700,04B,0700,04A,0700,000,004A,0009,000,0000
04B,EEF4,04C,EEF4,040,0009,000,FFF4,0009,000,0000,040,0009
04C,8EEC,04D,8EEC,039,0007,000,0006,0009,000,0000,039,0007
04D,CEF4,042,CEF4,04D,0042,000,FFF4,0009,000,0000
042,AEFD,043,AEFD,040,0009,000,FFFD,0009,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0001,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0001,000,0000
045,AEF4,046,AEF4,03A,002C,000,FFF4,002C,000,0000
046,0700,047,0700,046,0700,000,0046,002D,000,0000
047,0700,048,0700,047,0700,000,0047,002E,000,0000
048,EEF1,049,EEF1,03A,002E,000,FFF1,002E,000,0000,03A,002E
049,AEF6,04A,AEF6,040,0009,000,FFF6,0009,000,0000
04A,0700,04B,0700,04A,0700,000,004A,000A,000,0000
04B,EEF4,04C,EEF4,040,000A,000,FFF4,000A,000,0000,040,000A
04C,8EEC,04D,8EEC,039,0006,000,0005,000A,000,0000,039,0006
04D,CEF4,042,CEF4,04D,0042,000,FFF4,000A,000,0000
042,AEFD,043,AEFD,040,000A,000,FFFD,000A,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0002,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0002,000,0000
045,AEF4,046,AEF4,03A,002E,000,FFF4,002E,000,0000
046,0700,047,0700,046,0700,000,0046,002F,000,0000
047,0700,048,0700,047,0700,000,0047,0030,000,0000
048,EEF1,049,EEF1,03A,0030,000,FFF1,0030,000,0000,03A,0030
049,AEF6,04A,AEF6,040,000A,000,FFF6,000A,000,0000
04A,0700,04B,0700,04A,0700,000,004A,000B,000,0000
04B,EEF4,04C,EEF4,040,000B,000,FFF4,000B,000,0000,040,000B
04C,8EEC,04D,8EEC,039,0005,000,0004,000B,000,0000,039,0005
04D,CEF4,042,CEF4,04D,0042,000,FFF4,000B,000,0000
042,AEFD,043,AEFD,040,000B,000,FFFD,000B,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0003,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0003,000,0000
045,AEF4,046,AEF4,03A,0030,000,FFF4,0030,000,0000
046,0700,047,0700,046,0700,000,0046,0031,000,0000
047,0700,048,0700,047,0700,000,0047,0032,000,0000
048,EEF1,049,EEF1,03A,0032,000,FFF1,0032,000,0000,03A,0032
049,AEF6,04A,AEF6,040,000B,000,FFF6,000B,000,0000
04A,0700,04B,0700,04A,0700,000,004A,000C,000,0000
04B,EEF4,04C,EEF4,040,000C,000,FFF4,000C,000,0000,040,000C
04C,8EEC,04D,8EEC,039,0004,000,0003,000C,000,0000,039,0004
04D,CEF4,042,CEF4,04D,0042,000,FFF4,000C,000,0000
042,AEFD,043,AEFD,040,000C,000,FFFD,000C,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0000,004,0100
044,F00A,04F,F00A,044,F00A,000,000A,0000,004,0100
04F,0200,050,0200,04F,0200,000,004F,0000,004,0100
050,AAE9,051,AAE9,032,0000,000,FFE9,0000,004,0100,03A,0033
051,4EE9,052,4EE9,03B,0000,000,FFE9,0000,004,0100
052,EEE8,053,EEE8,03B,0000,000,FFE8,0000,004,0100,03B,0000
053,AAE6,054,AAE6,033,7FFF,000,FFE6,7FFF,000,0000,03A,0034
054,5EE7,055,5EE7,03C,FFFE,000,FFE7,7FFD,001,0001
055,EEE6,056,EEE6,03C,7FFD,000,FFE6,7FFD,001,0001,03C,7FFD
056,2EE6,057,2EE6,03D,0004,000,FFE6,0004,001,0001
057,F003,058,F003,057,F003,000,0057,0004,001,0001
058,AEE3,059,AEE3,03C,7FFD,000,FFE3,7FFD,001,0001
059,3EE4,05A,3EE4,03E,FFFC,000,0002,FFFD,009,1001
05A,CE02,05D,CE02,05A,005D,000,0002,FFFD,009,1001
05D,EEDE,05E,EEDE,03C,FFFD,000,FFDE,FFFD,009,1001,03C,FFFD
05E,CEEA,049,CEEA,05E,0049,000,FFEA,FFFD,009,1001
049,AEF6,04A,AEF6,040,000C,000,FFF6,000C,001,0001
04A,0700,04B,0700,04A,0700,000,004A,000D,000,0000
04B,EEF4,04C,EEF4,040,000D,000,FFF4,000D,000,0000,040,000D
04C,8EEC,04D,8EEC,039,0003,000,0002,000D,000,0000,039,0003
04D,CEF4,042,CEF4,04D,0042,000,FFF4,000D,000,0000
042,AEFD,043,AEFD,040,000D,000,FFFD,000D,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0001,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0001,000,0000
045,AEF4,046,AEF4,03A,0034,000,FFF4,0034,000,0000
046,0700,047,0700,046,0700,000,0046,0035,000,0000
047,0700,048,0700,047,0700,000,0047,0036,000,0000
048,EEF1,049,EEF1,03A,0036,000,FFF1,0036,000,0000,03A,0036
049,AEF6,04A,AEF6,040,000D,000,FFF6,000D,000,0000
04A,0700,04B,0700,04A,0700,000,004A,000E,000,0000
04B,EEF4,04C,EEF4,040,000E,000,FFF4,000E,000,0000,040,000E
04C,8EEC,04D,8EEC,039,0002,000,0001,000E,000,0000,039,0002
04D,CEF4,042,CEF4,04D,0042,000,FFF4,000E,000,0000
042,AEFD,043,AEFD,040,000E,000,FFFD,000E,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0002,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0002,000,0000
045,AEF4,046,AEF4,03A,0036,000,FFF4,0036,000,0000
046,0700,047,0700,046,0700,000,0046,0037,000,0000
047,0700,048,0700,047,0700,000,0047,0038,000,0000
048,EEF1,049,EEF1,03A,0038,000,FFF1,0038,000,0000,03A,0038
049,AEF6,04A,AEF6,040,000E,000,FFF6,000E,000,0000
04A,0700,04B,0700,04A,0700,000,004A,000F,000,0000
04B,EEF4,04C,EEF4,040,000F,000,FFF4,000F,000,0000,040,000F
04C,8EEC,04D,8EEC,039,0001,000,0000,000F,000,0000,039,0001
04D,CEF4,042,CEF4,04D,0042,000,FFF4,000F,000,0000
042,AEFD,043,AEFD,040,000F,000,FFFD,000F,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0003,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0003,000,0000
045,AEF4,046,AEF4,03A,0038,000,FFF4,0038,000,0000
046,0700,047,0700,046,0700,000,0046,0039,000,0000
047,0700,048,0700,047,0700,000,0047,003A,000,0000
048,EEF1,049,EEF1,03A,003A,000,FFF1,003A,000,0000,03A,003A
049,AEF6,04A,AEF6,040,000F,000,FFF6,000F,000,0000
04A,0700,04B,0700,04A,0700,000,004A,0010,000,0000
04B,EEF4,04C,EEF4,040,0010,000,FFF4,0010,000,0000,040,0010
04C,8EEC,04E,8EEC,039,0000,000,FFFF,0010,000,0000,039,0000
04E,0100,04F,0100,04E,0100,000,004E,0010,000,0000
